id,recorded_at,game_prediction_id,game_id,game_date,status,away_score,home_score,away_won,f5_away_score,f5_home_score,f5_away_won,f5_tied,nrfi_hit,total_runs,away_starter_actual_k,away_starter_pitched,home_starter_actual_k,home_starter_pitched
2,2026-04-30 00:02:47.233936+00,5,823473,2026-04-28,final,0,7,false,0,1,false,false,true,7,3,true,8,true
5,2026-04-30 00:02:47.948598+00,1,824447,2026-04-28,final,1,0,true,1,0,true,false,true,1,4,true,6,true
6,2026-04-30 00:02:48.563953+00,3,824526,2026-04-28,final,2,7,false,2,4,false,false,false,9,4,true,9,true
7,2026-04-30 00:02:49.179827+00,2,824849,2026-04-28,final,3,5,false,1,4,false,false,false,8,2,true,6,true
24,2026-04-30 00:02:56.704835+00,21,823310,2026-04-29,final,8,3,true,2,2,false,true,true,11,7,true,4,true
25,2026-04-30 00:02:56.088523+00,18,823310,2026-04-29,final,8,3,true,2,2,false,true,true,11,7,true,4,true
26,2026-04-30 00:03:24.40143+00,13,825017,2026-04-29,final,4,1,true,0,1,false,false,true,5,6,true,3,true
27,2026-04-30 00:03:22.491071+00,15,825017,2026-04-29,final,4,1,true,0,1,false,false,true,5,6,true,3,true
28,2026-04-30 00:03:23.161819+00,17,825017,2026-04-29,final,4,1,true,0,1,false,false,true,5,6,true,3,true
29,2026-04-30 00:03:23.784697+00,20,825017,2026-04-29,final,4,1,true,0,1,false,false,true,5,6,true,3,true
30,2026-04-29 15:01:03.897846+00,33,822823,2026-04-28,final,0,3,false,0,3,false,false,true,3,4,true,3,true
31,2026-04-29 15:01:06.010812+00,23,823390,2026-04-28,final,11,7,true,6,0,true,false,true,18,7,true,7,true
32,2026-04-29 15:01:08.095001+00,34,823636,2026-04-28,final,0,8,false,0,8,false,false,false,8,1,true,6,true
33,2026-04-29 15:01:10.181493+00,36,823716,2026-04-28,final,7,1,true,0,1,false,false,true,8,4,true,6,true
34,2026-04-29 15:01:12.272223+00,38,823798,2026-04-28,final,2,13,false,2,5,false,false,true,15,1,true,5,true
35,2026-04-29 15:01:14.358783+00,37,824610,2026-04-28,final,2,5,false,1,3,false,false,true,7,6,true,7,true
36,2026-04-29 15:01:16.441654+00,35,824931,2026-04-28,final,2,5,false,0,2,false,false,true,7,3,true,5,true
41,2026-04-30 00:02:49.795494+00,49,822821,2026-04-29,final,1,8,false,1,7,false,false,false,9,2,true,1,true
42,2026-04-30 00:02:51.90086+00,48,822907,2026-04-29,final,0,3,false,0,2,false,false,true,3,3,true,7,true
43,2026-04-30 00:02:53.993626+00,39,822908,2026-04-29,final,3,2,true,1,0,true,false,false,5,8,true,5,true
46,2026-04-30 00:02:57.326542+00,54,823312,2026-04-29,final,5,4,true,3,3,false,true,true,9,6,true,1,true
47,2026-04-30 23:58:12.658509+00,63,823392,2026-04-29,final,5,4,true,3,1,true,false,true,9,6,true,6,true
48,2026-04-30 23:58:12.922911+00,57,823471,2026-04-29,pending,,,,,,,,,,,,,
49,2026-04-30 23:58:13.149904+00,64,823633,2026-04-29,final,14,2,true,9,2,true,false,false,16,10,true,5,true
50,2026-04-30 00:03:05.677971+00,47,823717,2026-04-29,final,5,3,true,1,2,false,false,true,8,5,true,7,true
51,2026-04-30 23:58:13.395332+00,66,823796,2026-04-29,final,6,2,true,4,2,true,false,false,8,4,true,5,true
52,2026-04-30 00:03:09.897771+00,41,823956,2026-04-29,final,2,1,true,2,0,true,false,true,3,4,true,9,true
53,2026-04-30 00:03:11.987459+00,50,823958,2026-04-29,final,3,2,true,2,1,true,false,true,5,4,true,9,true
54,2026-04-30 00:03:14.084063+00,45,824445,2026-04-29,final,1,3,false,0,3,false,false,true,4,6,true,9,true
55,2026-04-30 23:58:13.62401+00,62,824525,2026-04-29,final,13,2,true,5,0,true,false,false,15,2,true,4,true
56,2026-04-30 00:03:18.268241+00,46,824608,2026-04-29,final,2,3,false,1,1,false,true,true,5,1,true,6,true
57,2026-04-30 23:58:13.855782+00,65,824930,2026-04-29,final,3,4,false,3,2,true,false,false,7,7,true,4,true
62,2026-04-30 23:58:19.195533+00,67,825015,2026-04-30,final,2,5,false,1,4,false,false,false,7,5,true,8,true
69,2026-04-30 23:58:14.079521+00,70,823391,2026-04-30,final,10,5,true,5,3,true,false,false,15,4,true,9,true
70,2026-04-30 23:58:14.739937+00,76,823471,2026-04-30,pending,,,,,,,,,,,,,
71,2026-04-30 23:58:15.378587+00,71,823472,2026-04-30,final,2,3,false,2,1,true,false,false,5,6,true,7,true
72,2026-04-30 23:58:16.009187+00,73,823634,2026-04-30,final,5,4,true,3,3,false,true,true,9,3,true,6,true
73,2026-04-30 23:58:16.65141+00,79,823714,2026-04-30,pending,,,,,,,,,,,,,
74,2026-04-30 23:58:17.275125+00,72,824524,2026-04-30,final,4,6,false,2,3,false,false,false,10,5,true,5,true
75,2026-04-30 23:58:17.90374+00,69,824848,2026-04-30,final,3,10,false,0,5,false,false,true,13,3,true,7,true
76,2026-04-30 23:58:18.550078+00,68,824929,2026-04-30,final,5,2,true,0,2,false,false,true,7,8,true,5,true
78,2026-04-30 23:58:19.448592+00,75,825016,2026-04-30,final,3,6,false,2,5,false,false,false,9,5,true,4,true
