game_year,count_bucket,PA,AB,H,2B,3B,HR,BB,SO,AVG,OBP,SLG,OPS,ISO,BB%,K%,K-BB%,avg_ev,avg_la,HardHit%,SweetSpot%,wOBA,xwOBA
2022,Hitter-Friendly,72,14,7,3,0,0,13,0,0.5,0.741,0.714,1.455,0.214,18.1,0.0,-18.1,93.6,12.4,50.0,37.5,0.621,0.556
2022,Neutral,575,104,38,4,0,6,1,0,0.365,0.371,0.577,0.948,0.212,0.2,0.0,-0.2,85.1,18.4,32.1,29.4,0.414,0.364
2022,Pitcher-Friendly,396,101,31,3,0,4,24,34,0.307,0.44,0.455,0.895,0.149,6.1,8.6,2.5,84.6,19.6,29.3,30.5,0.321,0.351
2023,Hitter-Friendly,86,9,2,0,0,1,14,0,0.222,0.696,0.556,1.251,0.333,16.3,0.0,-16.3,91.5,15.7,45.0,35.0,0.576,0.559
2023,Neutral,527,81,23,6,0,2,2,0,0.284,0.301,0.432,0.733,0.148,0.4,0.0,-0.4,83.9,19.7,27.6,28.3,0.311,0.343
2023,Pitcher-Friendly,409,108,32,11,0,6,11,30,0.296,0.361,0.565,0.926,0.269,2.7,7.3,4.6,82.7,22.2,27.2,31.6,0.316,0.325
2024,Hitter-Friendly,158,27,8,1,0,0,24,0,0.296,0.627,0.333,0.961,0.037,15.2,0.0,-15.2,87.1,9.1,41.2,19.6,0.481,0.485
2024,Neutral,1111,179,56,17,0,11,1,0,0.313,0.317,0.592,0.909,0.279,0.1,0.0,-0.1,85.5,15.9,32.0,29.9,0.374,0.365
2024,Pitcher-Friendly,871,213,66,12,2,8,19,71,0.31,0.366,0.498,0.864,0.188,2.2,8.2,6.0,84.9,13.4,31.7,27.2,0.279,0.285
2025,Hitter-Friendly,195,27,7,3,0,2,30,0,0.259,0.649,0.593,1.242,0.333,15.4,0.0,-15.4,87.0,19.4,36.8,26.3,0.538,0.558
2025,Neutral,1308,208,67,12,0,13,1,0,0.322,0.325,0.567,0.893,0.245,0.1,0.0,-0.1,85.8,20.5,31.4,25.4,0.38,0.337
2025,Pitcher-Friendly,1085,267,90,18,1,17,25,107,0.337,0.394,0.603,0.997,0.266,2.3,9.9,7.6,86.5,18.0,35.8,33.7,0.314,0.302
