game_year,month,PA,AB,H,2B,3B,HR,BB,SO,AVG,OBP,SLG,OPS,ISO,BB%,K%,K-BB%,avg_ev,avg_la,HardHit%,SweetSpot%,wOBA,xwOBA
2022,2022-06,24,5,0,0,0,0,2,0,0.0,0.286,0.0,0.286,0.0,8.3,0.0,-8.3,95.9,9.4,60.0,0.0,0.2,0.335
2022,2022-07,412,79,23,2,0,3,14,19,0.291,0.398,0.43,0.828,0.139,3.4,4.6,1.2,85.2,19.1,32.0,26.0,0.321,0.368
2022,2022-08,276,60,23,4,0,5,8,8,0.383,0.456,0.7,1.156,0.317,2.9,2.9,0.0,87.2,20.0,36.5,34.6,0.443,0.384
2022,2022-09,257,58,22,4,0,1,11,6,0.379,0.478,0.5,0.978,0.121,4.3,2.3,-1.9,84.1,16.1,26.6,29.8,0.395,0.373
2022,2022-10,74,17,8,0,0,1,3,1,0.471,0.55,0.647,1.197,0.176,4.1,1.4,-2.7,82.8,20.1,28.1,43.8,0.473,0.382
2023,2023-03,23,2,0,0,0,0,1,1,0.0,0.333,0.0,0.333,0.0,4.3,4.3,0.0,79.9,33.5,12.5,0.0,0.175,0.205
2023,2023-04,444,86,29,8,0,5,15,15,0.337,0.436,0.605,1.04,0.267,3.4,3.4,0.0,85.5,16.1,38.0,36.1,0.391,0.406
2023,2023-05,465,91,27,8,0,4,9,13,0.297,0.36,0.516,0.876,0.22,1.9,2.8,0.9,82.5,23.4,21.6,28.1,0.329,0.326
2023,2023-06,90,19,1,1,0,0,2,1,0.053,0.143,0.105,0.248,0.053,2.2,1.1,-1.1,81.7,27.8,20.6,23.5,0.115,0.214
2024,2024-03,57,8,1,0,0,0,2,3,0.125,0.3,0.125,0.425,0.0,3.5,5.3,1.8,80.8,8.2,17.6,29.4,0.177,0.203
2024,2024-04,440,78,20,6,0,4,14,9,0.256,0.37,0.487,0.857,0.231,3.2,2.0,-1.1,84.7,9.8,33.3,28.1,0.332,0.372
2024,2024-05,416,71,24,8,1,2,9,20,0.338,0.412,0.563,0.976,0.225,2.2,4.8,2.6,85.9,15.4,30.1,29.4,0.317,0.379
2024,2024-06,431,85,27,7,1,4,11,13,0.318,0.396,0.565,0.961,0.247,2.6,3.0,0.5,86.8,17.8,36.6,26.8,0.357,0.306
2024,2024-07,373,82,29,3,0,2,2,11,0.354,0.369,0.463,0.832,0.11,0.5,2.9,2.4,84.9,14.7,31.2,32.4,0.313,0.313
2024,2024-08,423,95,29,6,0,7,6,15,0.305,0.347,0.589,0.936,0.284,1.4,3.5,2.1,84.8,13.7,32.8,22.8,0.347,0.303
2025,2025-03,64,12,3,1,1,1,3,2,0.25,0.4,0.75,1.15,0.5,4.7,3.1,-1.6,86.6,28.3,26.1,26.1,0.416,0.303
2025,2025-04,403,74,17,2,0,3,7,22,0.23,0.296,0.378,0.675,0.149,1.7,5.5,3.7,87.3,20.1,34.0,26.4,0.234,0.268
2025,2025-05,432,88,37,3,0,4,8,20,0.42,0.469,0.591,1.06,0.17,1.9,4.6,2.8,86.7,14.5,36.3,31.8,0.395,0.378
2025,2025-06,409,83,29,3,0,4,11,14,0.349,0.426,0.53,0.956,0.181,2.7,3.4,0.7,84.6,17.1,30.9,22.8,0.369,0.311
2025,2025-07,386,75,24,8,0,6,10,15,0.32,0.4,0.667,1.067,0.347,2.6,3.9,1.3,84.2,20.8,32.2,36.2,0.376,0.368
2025,2025-08,475,89,25,5,0,10,10,18,0.281,0.354,0.674,1.028,0.393,2.1,3.8,1.7,86.5,22.9,34.5,29.2,0.356,0.341
2025,2025-09,419,81,29,11,0,4,7,16,0.358,0.409,0.642,1.051,0.284,1.7,3.8,2.1,87.9,18.1,36.9,32.5,0.372,0.336
