game_year,pitch_group,PA,AB,H,2B,3B,HR,BB,SO,AVG,OBP,SLG,OPS,ISO,BB%,K%,K-BB%,avg_ev,avg_la,HardHit%,SweetSpot%,wOBA,xwOBA
2022,Breaking,270,54,19,4,0,3,7,9,0.352,0.426,0.593,1.019,0.241,2.6,3.3,0.7,85.1,10.3,36.0,18.0,0.381,0.348
2022,Fastball,594,128,48,5,0,7,25,17,0.375,0.477,0.578,1.055,0.203,4.2,2.9,-1.3,86.4,21.5,33.2,32.3,0.421,0.404
2022,Offspeed,170,37,9,1,0,0,5,7,0.243,0.333,0.27,0.604,0.027,2.9,4.1,1.2,81.9,19.5,21.7,40.0,0.239,0.314
2022,Other,9,0,0,0,0,0,1,1,,1.0,,,,11.1,11.1,0.0,86.9,21.0,0.0,100.0,0.4,0.0
2023,Breaking,272,53,15,8,0,4,10,7,0.283,0.397,0.66,1.057,0.377,3.7,2.6,-1.1,86.1,13.0,37.6,32.3,0.39,0.384
2023,Fastball,552,92,30,7,0,4,14,18,0.326,0.415,0.533,0.948,0.207,2.5,3.3,0.7,83.2,25.5,26.2,33.7,0.349,0.375
2023,Offspeed,185,50,11,1,0,1,1,5,0.22,0.235,0.3,0.535,0.08,0.5,2.7,2.2,81.3,17.7,20.5,17.8,0.215,0.252
2023,Other,13,3,1,1,0,0,2,0,0.333,0.6,0.667,1.267,0.333,15.4,0.0,-15.4,95.1,30.0,66.7,66.7,0.683,0.298
2024,Breaking,551,86,29,3,1,8,9,27,0.337,0.4,0.674,1.074,0.337,1.6,4.9,3.3,86.2,8.0,36.6,24.2,0.335,0.292
2024,Fastball,1265,277,84,22,1,7,27,36,0.303,0.365,0.466,0.831,0.162,2.1,2.8,0.7,85.8,18.2,31.3,29.3,0.321,0.339
2024,Offspeed,309,56,17,5,0,4,7,8,0.304,0.381,0.607,0.988,0.304,2.3,2.6,0.3,82.1,7.3,31.3,26.7,0.361,0.358
2024,Other,15,0,0,0,0,0,1,0,,1.0,,,,6.7,0.0,-6.7,80.9,9.0,0.0,100.0,,
2025,Breaking,706,109,41,6,0,8,16,40,0.376,0.456,0.651,1.107,0.275,2.3,5.7,3.4,86.3,13.5,39.5,29.8,0.349,0.363
2025,Fastball,1520,321,102,24,1,19,30,50,0.318,0.376,0.576,0.952,0.259,2.0,3.3,1.3,86.1,22.5,31.7,29.4,0.361,0.326
2025,Offspeed,346,72,21,3,0,5,5,17,0.292,0.338,0.542,0.879,0.25,1.4,4.9,3.5,87.1,11.9,35.5,31.8,0.302,0.314
2025,Other,16,0,0,0,0,0,5,0,,1.0,,,,31.2,0.0,-31.2,,,,,,
