game_year,pitch_type,pitch_name,PA,AB,H,2B,3B,HR,BB,SO,AVG,OBP,SLG,OPS,ISO,BB%,K%,K-BB%,avg_ev,avg_la,HardHit%,SweetSpot%,wOBA,xwOBA
2022,CH,Changeup,170,37,9,1,0,0,5,7,0.243,0.333,0.27,0.604,0.027,2.9,4.1,1.2,81.9,19.5,21.7,40.0,0.239,0.314
2022,CU,Curveball,87,20,5,1,0,0,1,1,0.25,0.286,0.3,0.586,0.05,1.1,1.1,0.0,85.2,-0.8,43.3,10.0,0.252,0.286
2022,FC,Cutter,75,19,11,1,0,2,1,0,0.579,0.6,0.947,1.547,0.368,1.3,0.0,-1.3,87.0,16.5,38.2,41.2,0.692,0.434
2022,FF,Four-seam Fastball,372,74,26,3,0,5,21,14,0.351,0.495,0.595,1.089,0.243,5.6,3.8,-1.9,85.0,26.6,25.5,30.3,0.415,0.401
2022,FS,Split-finger Fastball,36,9,4,0,0,0,0,1,0.444,0.444,0.444,0.889,0.0,0.0,2.8,2.8,87.2,12.4,50.0,42.9,0.36,0.431
2022,KC,Knuckle Curve,29,8,5,2,0,1,0,2,0.625,0.625,1.25,1.875,0.625,0.0,6.9,6.9,90.3,14.5,45.5,27.3,0.63,0.498
2022,SI,Sinker,111,26,7,1,0,0,3,2,0.269,0.345,0.308,0.653,0.038,2.7,1.8,-0.9,90.6,10.7,50.0,28.6,0.302,0.386
2022,SL,Slider,111,17,5,1,0,2,5,4,0.294,0.455,0.706,1.16,0.412,4.5,3.6,-0.9,84.4,13.3,34.2,13.2,0.406,0.354
2022,ST,Sweeper,43,9,4,0,0,0,1,2,0.444,0.5,0.444,0.944,0.0,2.3,4.7,2.3,81.2,27.6,10.0,50.0,0.358,0.322
2022,SV,Unknown,5,0,0,0,0,0,0,1,,,,,,0.0,20.0,20.0,86.9,21.0,0.0,100.0,0.0,0.0
2022,,Unknown,4,0,0,0,0,0,1,0,,1.0,,,,25.0,0.0,-25.0,,,,,,
2023,CH,Changeup,185,50,11,1,0,1,1,5,0.22,0.235,0.3,0.535,0.08,0.5,2.7,2.2,81.3,17.7,20.5,17.8,0.215,0.252
2023,CU,Curveball,72,9,2,1,0,0,1,0,0.222,0.3,0.333,0.633,0.111,1.4,0.0,-1.4,85.5,12.1,38.9,22.2,0.317,0.376
2023,FC,Cutter,78,11,1,0,0,1,2,2,0.091,0.231,0.364,0.594,0.273,2.6,2.6,0.0,79.0,30.8,17.9,28.6,0.213,0.207
2023,FF,Four-seam Fastball,317,41,16,4,0,1,8,9,0.39,0.49,0.561,1.051,0.171,2.5,2.8,0.3,80.9,32.2,19.8,34.2,0.381,0.379
2023,FS,Split-finger Fastball,50,17,3,0,0,2,1,2,0.176,0.222,0.529,0.752,0.353,2.0,4.0,2.0,90.1,8.7,50.0,30.8,0.28,0.417
2023,KC,Knuckle Curve,22,2,1,1,0,0,0,0,0.5,0.5,1.0,1.5,0.5,0.0,0.0,0.0,83.0,17.6,33.3,55.6,0.625,0.881
2023,SI,Sinker,107,23,10,3,0,0,3,5,0.435,0.5,0.565,1.065,0.13,2.8,4.7,1.9,88.3,13.4,35.1,37.8,0.402,0.429
2023,SL,Slider,135,32,10,5,0,3,7,5,0.312,0.436,0.75,1.186,0.438,5.2,3.7,-1.5,89.0,9.1,43.8,31.2,0.412,0.387
2023,ST,Sweeper,43,10,2,1,0,1,2,2,0.2,0.333,0.6,0.933,0.4,4.7,4.7,0.0,80.6,22.0,22.2,33.3,0.332,0.307
2023,SV,Unknown,4,3,1,1,0,0,0,0,0.333,0.333,0.667,1.0,0.333,0.0,0.0,0.0,95.1,30.0,66.7,66.7,0.417,0.298
2023,,Unknown,9,0,0,0,0,0,2,0,,1.0,,,,22.2,0.0,-22.2,,,,,,
2024,CH,Changeup,309,56,17,5,0,4,7,8,0.304,0.381,0.607,0.988,0.304,2.3,2.6,0.3,82.1,7.3,31.3,26.7,0.361,0.358
